id,date_collected,survey,site,plot,plot_number,soil_depth_cm,pan_weight_g,combined_wet_weight_g,combined_dry_weight_g,LOI_weight_g
6_1_1,8/3/2025,6,1,1,1,25,1.32,13.82,11.93,11.67
6_1_2,8/3/2025,6,1,2,2,25,1.32,13.43,12.81,12.48
6_1_3,8/3/2025,6,1,3,3,25,1.3,15.16,14.04,13.75
6_2_1,8/3/2025,6,2,1,4,25,1.3,19.24,18.47,18.4
6_2_2,8/3/2025,6,2,2,5,25,1.3,19.13,18.64,18.51
6_2_3,8/3/2025,6,2,3,6,25,1.32,16.81,16,15.94
6_3_1,8/3/2025,6,3,1,7,25,1.31,16.91,16.3,16.21
6_3_2,8/3/2025,6,3,2,8,25,1.3,20.58,20.16,20.1
6_3_3,8/3/2025,6,3,3,9,25,1.3,19.44,19,18.93
6_4_1,8/3/2025,6,4,1,10,25,1.3,14.41,12.66,12.17
6_4_2,8/3/2025,6,4,2,11,25,1.32,17.54,16.16,15.93
6_4_3,8/3/2025,6,4,3,12,25,1.31,17.07,16.3,16.16
6_5_1,8/3/2025,6,5,1,13,25,1.3,20.02,19.4,19.26
6_5_2,8/3/2025,6,5,2,14,25,1.3,19.19,17.66,17.4
6_5_3,8/3/2025,6,5,3,15,25,1.31,15.08,14.18,13.87
6_6_1,8/3/2025,6,6,1,16,25,1.29,19.48,18.4,18.23
6_6_2,8/3/2025,6,6,2,17,25,1.31,18.83,17.34,17.04
6_6_3,8/3/2025,6,6,3,18,25,1.31,19.67,18.69,18.57
4_1_1,"July 19, 2025",4,1,1,1,25,1.31,16.69,15.84,15.66
4_1_2,"July 19, 2025",4,1,2,2,25,1.29,14.63,13.62,13.07
4_2_1,"July 19, 2025",4,2,1,4,25,1.3,18.05,17.54,17.5
4_2_2,"July 19, 2025",4,2,2,5,25,1.29,19.75,19.29,19.2
4_2_3,"July 19, 2025",4,2,3,6,25,1.32,19.86,19.02,18.95
4_3_1,"July 19, 2025",4,3,1,7,25,1.3,20.78,20.02,19.95
4_3_2,"July 19, 2025",4,3,2,8,25,1.32,18.09,17.83,17.78
4_3_3,"July 19, 2025",4,3,3,9,25,1.31,14.03,13.8,13.69
4_4_3,"July 19, 2025",4,4,3,12,25,1.32,16.84,15.93,15.53
4_5_1,"July 19, 2025",4,5,1,13,25,1.31,14.78,13.72,13.26
4_5_2,"July 19, 2025",4,5,2,14,25,1.3,15.32,13.95,13.53
4_5_3,"July 19, 2025",4,5,3,15,25,1.29,16.8,16.11,15.85
4_6_1,"July 19, 2025",4,6,1,16,25,1.31,16.52,15.71,15.62
4_6_2,"July 19, 2025",4,6,2,17,25,1.31,19.43,18.4,18.28
4_6_3,"July 19, 2025",4,6,3,18,25,1.33,15.36,14.61,14.51
6_1_1,8/3/2025,6,1,1,1,10,1.31,15.05,12.91,12.27
6_1_2,8/3/2025,6,1,2,2,10,1.31,9.1,7.38,6.29
6_1_3,8/3/2025,6,1,3,3,10,1.31,19.21,18.4,18.24
6_2_1,8/3/2025,6,2,1,4,10,1.3,15.55,14.23,13.9
6_2_2,8/3/2025,6,2,2,5,10,1.31,20.63,20.26,20.11
6_2_3,8/3/2025,6,2,3,6,10,1.32,13.35,11.72,11.2
6_3_1,8/3/2025,6,3,1,7,10,1.31,18.81,17.33,16.87
6_3_2,8/3/2025,6,3,2,8,10,1.31,19.97,19.58,19.51
6_3_3,8/3/2025,6,3,3,9,10,1.31,20.37,19.65,19.56
6_4_1,8/3/2025,6,4,1,10,10,1.3,9.77,6.88,5.7
6_4_2,8/3/2025,6,4,2,11,10,1.32,13.98,12.72,12.52
6_4_3,8/3/2025,6,4,3,12,10,1.31,14.53,13.08,12.43
6_5_1,8/3/2025,6,5,1,13,10,1.3,8.76,7.56,6.65
6_5_2,8/3/2025,6,5,2,14,10,1.3,15.39,14.04,13.63
6_5_3,8/3/2025,6,5,3,15,10,1.31,12.9,11.82,11.32
6_6_1,8/3/2025,6,6,1,16,10,1.3,12.53,11.67,11.29
6_6_2,8/3/2025,6,6,2,17,10,1.31,14.83,13.32,12.91
6_6_3,8/3/2025,6,6,3,18,10,1.31,15.33,14.55,14.21
4_1_1,"July 19, 2025",4,1,1,1,10,1.32,13.12,11.12,10.46
4_1_2,"July 19, 2025",4,1,2,2,10,1.31,9.94,8.24,6.9
4_1_3,"July 19, 2025",4,1,3,3,10,1.3,15.94,14.81,14.56
4_2_1,"July 19, 2025",4,2,1,4,10,1.3,16.74,16.43,16.36
4_2_2,"July 19, 2025",4,2,2,5,10,1.31,19.23,18.88,18.79
4_2_3,"July 19, 2025",4,2,3,6,10,1.32,17.26,16.53,16.4
4_3_1,"July 19, 2025",4,3,1,7,10,1.31,19.31,18.31,18.14
4_3_2,"July 19, 2025",4,3,2,8,10,1.31,17.2,17.09,16.99
4_3_3,"July 19, 2025",4,3,3,9,10,1.31,15.14,14.88,14.73
4_4_1,"July 19, 2025",4,4,1,10,10,1.3,14.29,10.75,9.64
4_4_2,"July 19, 2025",4,4,2,11,10,1.31,12.45,10.14,9.14
4_4_3,"July 19, 2025",4,4,3,12,10,1.31,11.59,10.33,9.43
4_5_1,"July 19, 2025",4,5,1,13,10,1.3,9.83,7.88,6.42
4_5_2,"July 19, 2025",4,5,2,14,10,1.3,11.64,8.54,6.98
4_5_3,"July 19, 2025",4,5,3,15,10,1.32,11.21,9.8,8.74
4_6_1,"July 19, 2025",4,6,1,16,10,1.31,15.63,14.87,14.7
4_6_2,"July 19, 2025",4,6,2,17,10,1.29,15.64,15,14.84
4_6_3,"July 19, 2025",4,6,3,18,10,1.31,15.4,14.84,14.71
4_1_3,"July 19, 2025",4,1,3,3,25,1.3,16.23,15.54,15.45
4_4_1,"July 19, 2025",4,4,1,10,25,1.32,17.31,15.67,15.49
