id,observed_on,user_login,latitude,longitude,scientific_name,common_name,taxon_kingdom_name,taxon_phylum_name,taxon_subphylum_name,taxon_superclass_name,taxon_class_name,taxon_subclass_name,taxon_superorder_name,taxon_order_name,taxon_suborder_name,taxon_superfamily_name,taxon_family_name,taxon_subfamily_name,taxon_supertribe_name,taxon_tribe_name,taxon_subtribe_name,taxon_genus_name,taxon_genushybrid_name,taxon_species_name,taxon_hybrid_name,taxon_subspecies_name,taxon_variety_name,taxon_form_name,field:field site id,field:voucher number,field:voucher specimen taken
294071172,2025-06-29,rpitt,37.895375,-75.3655166667,Amanita flavoconia,Yellow Patches,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Pluteineae,,Amanitaceae,,,Amaniteae,,Amanita,,Amanita flavoconia,,,,,1_4_3,CBFS_0347 (RP_068),Yes
295729674,2025-07-05,rpitt,37.895595,-75.36525,Amanita amerirubescens,Amanita amerirubescens group,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Pluteineae,,Amanitaceae,,,Amaniteae,,Amanita,,,,,,,2_4_1,CBFS_0349 (RP_069),Yes
295729708,2025-07-05,rpitt,37.8955,-75.365775,Scleroderma citrinum,common earthball,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Boletales,Sclerodermatineae,,Sclerodermataceae,,,,,Scleroderma,,Scleroderma citrinum,,,,,2_4_3,CBFS_0348 (RP_071),Yes
295730416,2025-07-05,rpitt,37.8953583333,-75.3653333333,Amanita flavoconia,Yellow Patches,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Pluteineae,,Amanitaceae,,,Amaniteae,,Amanita,,Amanita flavoconia,,,,,2_4_1,CBFS_0346 (RP_064),Yes
297727074,2025-07-12,rpitt,37.8996666667,-75.3439166667,Marasmius,pinwheels and parachute mushrooms,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Marasmiineae,,Marasmiaceae,Marasmieae,,,,Marasmius,,,,,,,3_1_1,CBFS_0351 (RP_072),Yes
297735118,2025-07-12,rpitt,37.89937,-75.3437583333,Marasmius,pinwheels and parachute mushrooms,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Marasmiineae,,Marasmiaceae,Marasmieae,,,,Marasmius,,,,,,,3_1_1,CBFS_0352 (RP_086),Yes
297735378,2025-07-12,rpitt,37.8993116667,-75.3437883333,Marasmius,pinwheels and parachute mushrooms,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Marasmiineae,,Marasmiaceae,Marasmieae,,,,Marasmius,,,,,,,3_1_1,CBFS_0353 (RP_073),Yes
297736140,2025-07-12,rpitt,37.8997033333,-75.343445,Phloeomana speirea,Bark Bonnet,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Marasmiineae,,Porotheleaceae,,,,,Phloeomana,,Phloeomana speirea,,,,,3_1_2,CBFS_0356 (RP_076),Yes
297737571,2025-07-12,rpitt,37.8993616667,-75.3437633333,Marasmius,pinwheels and parachute mushrooms,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Marasmiineae,,Marasmiaceae,Marasmieae,,,,Marasmius,,,,,,,3_1_1,CBFS_0354 (RP_074),Yes
297742039,2025-07-12,rpitt,37.8991383333,-75.3437116667,Russula brevipes,Short-stemmed Russula,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Russulales,,,Russulaceae,,,,,Russula,,Russula brevipes,,,,,3_1_3,CBFS_0357 (RP_078),Yes
