site,plot,plot_number,loblolly_count,cherry_count,water_oak_count,maple_count,sweetgum_count,sassafras_count,holly_count,willow_oak_count
1,1,1,3,0,0,0,0,0,0,0
1,2,2,3,0,1,0,0,0,0,0
1,3,3,4,0,0,0,0,0,0,0
2,1,4,2,0,0,0,0,0,0,0
2,2,5,5,0,0,0,0,0,0,0
2,3,6,1,0,0,0,0,0,0,0
3,1,7,12,0,0,0,0,0,0,0
3,2,8,3,0,0,0,0,0,0,1
3,3,9,5,0,0,0,0,0,0,0
4,1,10,0,0,0,1,0,0,0,0
4,2,11,14,0,0,0,0,0,0,0
4,3,12,9,0,0,0,0,0,0,0
5,1,13,2,1,2,0,0,0,0,0
5,2,14,1,4,0,0,0,1,1,0
5,3,15,3,2,6,0,0,0,0,0
6,1,16,6,0,0,0,3,0,0,0
6,2,17,4,0,1,0,0,0,0,0
6,3,18,5,0,0,0,0,0,0,0
